feature,feature_group,gain,weight,cover,gain_percent,weight_percent,cover_percent
cqcc_3_mean,CQCC,72.64820861816406,363.0,270.7464599609375,10.375003242186683,2.5093322272915803,4.265121728621532
cqcc_5_std,CQCC,59.75362014770508,219.0,263.7437744140625,8.53350708237324,1.5138946495230197,4.1548070589893245
cqcc_1_std,CQCC,50.31721878051758,336.0,167.08865356445312,7.185879981287821,2.3226876814599753,2.63218011059751
cqcc_4_std,CQCC,30.23698616027832,207.0,140.89938354492188,4.318190846187026,1.4309415180423062,2.219615437976656
spectral_contrast_7_mean,Spectral,28.18482780456543,880.0,152.24545288085938,4.025118931559273,6.083229641918982,2.3983522785844165
spectral_contrast_3_mean,Spectral,22.462003707885742,206.0,176.10946655273438,3.2078335547155743,1.4240287570855799,2.7742867349711053
mfcc_1_std,MFCC,20.343219757080078,277.0,123.15611267089844,2.905246735615321,1.9148347850131344,1.9401022352831345
cqcc_4_mean,CQCC,18.227066040039062,183.0,162.45338439941406,2.6030355442745816,1.2650352550808792,2.559159812431211
cqcc_3_std,CQCC,17.705448150634766,371.0,80.80579376220703,2.528542485234458,2.564634314945389,1.2729494111332944
cqcc_5_mean,CQCC,16.792268753051758,186.0,114.76378631591797,2.3981299204812374,1.2857735379510575,1.8078962832811227
cqcc_16_std,CQCC,12.368148803710938,139.0,130.8351593017578,1.7663144952794456,0.9608737729849302,2.0610717528350966
spectral_rolloff_std,Spectral,12.216239929199219,219.0,149.24717712402344,1.7446201535254775,1.5138946495230197,2.351119856484696
cqcc_2_std,CQCC,12.058012008666992,151.0,57.49208450317383,1.7220233790178698,1.0438269044656436,0.9056840073684075
mfcc_1_mean,MFCC,11.396591186523438,204.0,89.11719512939453,1.6275648465266308,1.4102032351721276,1.4038805360373858
spectral_contrast_7_std,Spectral,10.967341423034668,325.0,83.42823028564453,1.5662630226742205,2.246647310935988,1.3142611645710227
spectral_contrast_4_mean,Spectral,10.817419052124023,104.0,101.95454406738281,1.5448523765776372,0.7189271394995161,1.6061097947365024
mfcc_4_std,MFCC,10.748104095458984,150.0,152.98558044433594,1.5349534002117975,1.0369141435089175,2.4100116522781336
rms_std,RMS,9.062393188476562,328.0,47.396270751953125,1.2942144135527474,2.2673855938061664,0.7466426865523937
chroma_3_mean,Chroma,8.619850158691406,97.0,78.56561279296875,1.2310141577424458,0.6705378128024333,1.2376594039091144
spectral_rolloff_mean,Spectral,8.556071281433105,87.0,42.418060302734375,1.2219057974549157,0.6014102032351721,0.6682199675270849
mfcc_8_mean,MFCC,7.519596099853516,99.0,76.31609344482422,1.0738851707405823,0.6843633347158855,1.2022222873827892
cqcc_17_std,CQCC,7.401522636413574,153.0,101.28314971923828,1.057022916470223,1.0576524263790958,1.5955331887740158
duration,Duration,6.9959564208984375,219.0,100.85682678222656,0.9991033768019196,1.5138946495230197,1.5888172404941354
mfcc_9_mean,MFCC,6.952461242675781,171.0,54.69871139526367,0.9928917630035483,1.182082123600166,0.861679456614859
